English Title	Original Title	Year	Duration(min)	Decade	Country	Director	Director's Gender	Writer	Writer's Gender	DP	DP's Gender	Producer	Producer's Gender	Genre	Wikidata ID	IMDb ID
Rashomon	Rashōmon	1950	88	1950s	JPN	Akira Kurosawa	male	Shinobu Hashimoto/ Akira Kurosawa/ Ryūnosuke Akutagawa	male/ male/ male	Kazuo Miyagawa	male			Crime/ Drama/ Mystery	Q135465	tt0042876
Orpheus	Orphée	1950	95	1950s	FRA	Jean Cocteau	male	Jean Cocteau	male	Nicolas Hayer	male	André Paulvé	male	Fantasy/ Drama/ Romance	Q2162087	tt0041719
Los Olvidados	Los Olvidados	1950	77	1950s	MEX	Luis Buñuel	male	Luis Buñuel/ Luis Alcoriza	male/ male	Gabriel Figueroa	male			Crime/ Drama	Q572522	tt0042804
A Song of Love	Un chant d'amour	1950	26	1950s	FRA	Jean Genet	male	Jean Genet	male	Jean Cocteau	male	Nikos Papatakis	male	Drama/ Fantasy	Q1304788	tt0043084
An American in Paris	An American in Paris	1951	108	1950s	USA	Vincente Minnelli	male	Alan Jay Lerner	male	Alfred Gilks/ John Alton	male/ male	Arthur Freed/ Roger Edens	male/ male	Drama/ Musical/ Romance	Q747570	tt0043278
Miracle in Milan	Miracolo a Milano	1951	100	1950s	ITA	Vittorio De Sica	male	Suso Cecchi d'Amico/ Mario Chiari/ Adolfo Franci/ Cesare Zavattini/ Vittorio De Sica	female/ male/ male/ male/ male	G.R. Aldo	male	Vittorio De Sica	male	Comedy/ Drama/ Fantasy	Q1170844	tt0043809
Baazi	Baazi	1951	143	1950s	IND	Guru Dutt	male	Guru Dutt/ Balraj Sahni	male/ male			Dev Anand	male	Crime/ Drama/ Musical	Q797523	tt0043307
The Thing from Another World	The Thing from Another World	1951	83	1950s	USA	Christian Nyby/ Howard Hawks	male/ male	Charles Lederer/ Ben Hecht/ John W. Campbell/ Howard Hawks	male/ male/ male/ male	Russell Harlan	male	Howard Hawks	male	Horror/ Sci-Fi	Q1138425	tt0044121
Singin' in the Rain	Singin' in the Rain	1952	103	1950s	USA	Gene Kelly/ Stanley Donen	male/ male	Betty Comden/ Adolph Green	female/ male	Harold Rosson	male	Arthur Freed	male	Comedy/ Musical/ Romance	Q309153	tt0045152
Toxi	Toxi	1952	89	1950s	DEU	Robert A. Stemmle	male	Peter Francke/ Robert A. Stemmle/ Marie Osten-Sacken	male/ male/ female	Igor Oberberg	male			Drama	Q1576626	tt0045250
Ugetsu	Ugetsu Monogatari	1953	96	1950s	JPN	Kenji Mizoguchi	male	Matsutarō Kawaguchi/ Yoshikata Yoda	male/ male	Kazuo Miyagawa	male	Masaichi Nagata	male	Drama/ Fantasy/ War	Q1076605	tt0046478
La strada	La strada	1954	104	1950s	ITA	Federico Fellini	male	Tullio Pinelli/ Ennio Flaiano/ Federico Fellini	male/ male/ male	Otello Martelli	male	Dino De Laurentiis/ Carlo Ponti	male/ male	Drama	Q18402	tt0047528
The Wages of Fear	Le Salaire de la peur	1953	148	1950s	FRA/ ITA	Henri-Georges Clouzot	male	Henri-Georges Clouzot/ Georges-Jean Arnaud	male/ male	Armand Henri Julien Thirard	male	Raymond Borderie/ Henri-Georges Clouzot	male/ male	Adventure/ Drama/ Thriller	Q465773	tt0046268
Journey to Italy	Viaggio in Italia	1954	81	1950s	FRA/ ITA	Roberto Rossellini	male	Roberto Rossellini/ Vitaliano Brancati/ Antonio Pietrangeli	male/ male/ male	Enzo Serafin	male	Roberto Rossellini/ Alfredo Guarini	male/ male	Drama/ Romance	Q385866	tt0046511
Tokyo Story	Tokyo Monogatari	1953	136	1950s	JPN	Yasujirō Ozu	male	Kōgo Noda/ Yasujirō Ozu	male/ male	Yūharu Atsuta	male	Takeshi Yamamoto	male	Drama	Q26060	tt0046438
A Star Is Born	A Star Is Born	1954	181	1950s	USA	George Cukor	male	Moss Hart/ Alan Campbell/ Robert Carson/ Dorothy Parker/ William A. Wellman	male/ male/ male/ female/ male	Sam Leavitt	male	Sidney Luft	male	Drama/ Musical/ Romance	Q1305622	tt0047522
The Big Heat	The Big Heat	1953	89	1950s	USA	Fritz Lang	male	Sydney Boehm/ William P. McGivern/ Fritz Lang	male/ male/ male	Charles Lang	male	Robert Arthur	male	Crime/ Film-Noir/ Thriller	Q1093085	tt0045555
Gilda	Gilda	1946	110	1940s	USA	Charles Vidor	male	Jo Eisinger/ Ben Hecht/ Virginia Van Upp/ Marion Parsonnet	male/ male/ female/ male	Rudolph Maté	male	Virginia Van Upp	female	Drama/ Film-Noir/ Romance	Q382307	tt0038559
Sansho the Bailiff	Sansho Dayu	1954	120	1950s	JPN	Kenji Mizoguchi	male	Yoshikata Yoda/ Mori Ōgai	male/ male	Kazuo Miyagawa	male	Masaichi Nagata	male	Drama	Q2633405	tt0047445
On the Waterfront	On the Waterfront	1954	108	1950s	USA	Elia Kazan	male	Budd Schulberg	male	Boris Kaufman	male	Sam Spiegel	male	Crime/ Drama/ Thriller	Q211372	tt0047296
Seven Samurai	Shichinin no Samurai	1954	207	1950s	JPN	Akira Kurosawa	male	Akira Kurosawa/ Shinobu Hashimoto/ Hideo Oguni	male/ male/ male	Asakazu Nakai	male	Sōjirō Motoki	male	Action/ Drama	Q189540	tt0047478
Les Maîtres fous	Les Maîtres fous	1955	36	1950s	FRA	Jean Rouch	male							Documentary/  Horror	Q3233797	tt0048363
Rebel Without a Cause	Rebel Without a Cause	1955	106	1950s	USA	Nicholas Ray	male	Stewart Stern/ Irving Shulman/ Nicholas Ray	male/ male/ male	Ernest Haller	male	David Weisbart	male	Drama	Q426346	tt0048545
Lola Montès	Lola Montès	1955	115	1950s	DEU/ FRA	Max Ophüls	male	Max Ophüls/ Jacques Natanson/ Franz Geiger	male/ male/ male	Christian Matras	male	Albert Caraco	male	Biography/ Drama/ Romance	Q667755	tt0048308
The Night of the Hunter	The Night of the Hunter	1955	89	1950s	USA	Charles Laughton	male	James Agee/ Davis Grubb/ Charles Laughton	male/ male/ male	Stanley Cortez	male	Paul Gregory	male	Crime/ Drama/ Film-Noir	Q1132629	tt0048424
The Mystery of Picasso	Le Mystère Picasso	1956	78	1950s	FRA	Henri-Georges Clouzot	male	Henri-Georges Clouzot/ Pablo Picasso	male/ male	Claude Renoir	male	Henri-Georges Clouzot	male	Documentary/ Biography/ History	Q2303888	tt0049531
Pather Patchali	Pather Patchali	1955	120	1950s	IND	Satyajit Ray	male	Satyajit Ray	male	Subrata Mitra	male	Satyajit Ray	male	Drama	Q622380	tt0048473
Devdas	Devdas	1955	159	1950s	IND	Bimal Roy	male	Sarat Chandra Chattopadhyay	male	Kamal Bose	male	Bimal Roy	male	Drama/ Musical/ Romance	Q771754	tt0047990
Written on the Wind	Written on the Wind	1956	99	1950s	USA	Douglas Sirk	male	Robert Wilder	male	Russell Metty	male	Albert Zugsmith	male	Drama	Q978520	tt0049966
The Searchers	The Searchers	1956	119	1950s	USA	John Ford	male	Frank S. Nugent	male	Winton Hoch	male	Merian C. Cooper/ Cornelius Vanderbilt Whitney	male/ male	Adventure/ Drama/ Western	Q276769	tt0049730
